ds,y
2015-01,-12.03959
2015-02,-11.95895
2015-03,-9.755601
2015-04,-6.631016
2015-05,-5.194805
2015-06,-5.084564
2015-07,-5.261463
2015-08,-3.74824
2015-09,-1.856879
2015-10,-3.206651
2015-11,-2.439024
2015-12,-1.689416
2016-01,-0.4059854
2016-02,-2.931333
2016-03,-1.534642
2016-04,-1.17984
2016-05,0.6339862
2016-06,1.702943
2016-07,2.368809
2016-08,0.9341587
2016-09,-0.2876743
2016-10,1.673173
2016-11,2.242152
2016-12,5.485376
2017-01,11.18099
2017-02,14.80204
2017-03,11.1162
2017-04,11.30173
2017-05,7.481156
2017-06,5.566645
2017-07,4.794065
2017-08,6.066012
2017-09,6.3249
2017-10,6.242457
2017-11,8.157895
2017-12,6.494768
2018-01,2.985544
2018-02,2.029826
2018-03,1.113861
2018-04,2.624453
2018-05,4.77287
2018-06,6.880252
2018-07,9.191759
2018-08,9.924306
2018-09,9.872678
2018-10,13.75465
2018-11,12.5811
2018-12,8.854219
2019-01,6.632082
2019-02,7.135607
2019-03,8.77193
2019-04,6.504972
2019-05,5.504496
2019-06,2.230958
2019-07,-0.3193033
2019-08,-1.998852
2019-09,-2.925532
2019-10,-6.663035
2019-11,-7.285007
2019-12,-4.355514
2020-01,-1.173328
2020-02,-2.036949
2020-03,-3.366467
2020-04,-2.067651
2020-05,-2.944797
2020-06,-10.61334
2020-07,-9.143855
2020-08,-8.67571
2020-09,-9.178082
2020-10,-8.733709
2020-11,-9.459985
2020-12,-8.98122
2021-01,-8.484556
2021-02,-6.576402
2021-03,-3.803979
2021-04,-3.405332
2021-05,-2.068293
2021-06,10.79802
2021-07,14.65812
2021-08,17.1511
2021-09,19.37082
2021-10,30.86104
2021-11,46.39562
2021-12,41.98204
2022-01,60.85856
2022-02,60.99379
2022-03,57.2178
2022-04,54.10959
2022-05,56.80415
2022-06,55.98913
2022-07,49.1148
2022-08,49.81301
2022-09,60.54152
2022-10,63.02932
2022-11,36.07386
2022-12,32.88156